
##### CMIP5 GHG data from Harun  /cs/data/ras029/ObsData/GHG-data/CMIP5-AR5_GHGdata/HistGHGm_1850-2005_v2.dat 

 YEARS  CO2  CH4  N2O  CFC_11  CFC_12  CFC_113  HCFC_22  HFC125  HFC134a  
 kg/kg  kg/kg  kg/kg  kg/kg  kg/kg  kg/kg  kg/kg  kg/kg  kg/kg  kg/kg

 1850.   4.32598E-04  4.38078E-07  4.18499E-07  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00
 1851.   4.32826E-04  4.38782E-07  4.18613E-07  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00
 1852.   4.33016E-04  4.39612E-07  4.18765E-07  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00
 1853.   4.33206E-04  4.40443E-07  4.18917E-07  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00
 1854.   4.33434E-04  4.41274E-07  4.19069E-07  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00
 1855.   4.33662E-04  4.41966E-07  4.19221E-07  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00
 1856.   4.33889E-04  4.42659E-07  4.19373E-07  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00
 1857.   4.34117E-04  4.43489E-07  4.19525E-07  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00
 1858.   4.34383E-04  4.44320E-07  4.19677E-07  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00
 1859.   4.34649E-04  4.45151E-07  4.19829E-07  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00
 1860.   4.34877E-04  4.45982E-07  4.19981E-07  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00
 1861.   4.35105E-04  4.46812E-07  4.20133E-07  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00
 1862.   4.35295E-04  4.47643E-07  4.20285E-07  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00
 1863.   4.35485E-04  4.48474E-07  4.20437E-07  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00
 1864.   4.35713E-04  4.49305E-07  4.20589E-07  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00
 1865.   4.35903E-04  4.50274E-07  4.20741E-07  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00
 1866.   4.36055E-04  4.51243E-07  4.20893E-07  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00
 1867.   4.36206E-04  4.52074E-07  4.21044E-07  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00
 1868.   4.36396E-04  4.52905E-07  4.21196E-07  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00
 1869.   4.36624E-04  4.53735E-07  4.21348E-07  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00
 1870.   4.36852E-04  4.54705E-07  4.21462E-07  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00
 1871.   4.37118E-04  4.55674E-07  4.21538E-07  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00
 1872.   4.37422E-04  4.56505E-07  4.21652E-07  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00
 1873.   4.37764E-04  4.57335E-07  4.21804E-07  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00
 1874.   4.38182E-04  4.58166E-07  4.21956E-07  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00
 1875.   4.38637E-04  4.59135E-07  4.22070E-07  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00
 1876.   4.39131E-04  4.60105E-07  4.22146E-07  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00
 1877.   4.39701E-04  4.60935E-07  4.22260E-07  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00
 1878.   4.40309E-04  4.61766E-07  4.22412E-07  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00
 1879.   4.40954E-04  4.62597E-07  4.22564E-07  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00
 1880.   4.41676E-04  4.63566E-07  4.22716E-07  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00
 1881.   4.42436E-04  4.64674E-07  4.22868E-07  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00
 1882.   4.43158E-04  4.65782E-07  4.23020E-07  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00
 1883.   4.43841E-04  4.66889E-07  4.23172E-07  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00
 1884.   4.44525E-04  4.67858E-07  4.23324E-07  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00
 1885.   4.45133E-04  4.68689E-07  4.23476E-07  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00
 1886.   4.45626E-04  4.69658E-07  4.23628E-07  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00
 1887.   4.46044E-04  4.70766E-07  4.23742E-07  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00
 1888.   4.46386E-04  4.71874E-07  4.23818E-07  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00
 1889.   4.46690E-04  4.72981E-07  4.23931E-07  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00
 1890.   4.46956E-04  4.74089E-07  4.24083E-07  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00
 1891.   4.47184E-04  4.75335E-07  4.24235E-07  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00
 1892.   4.47412E-04  4.76720E-07  4.24387E-07  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00
 1893.   4.47602E-04  4.77966E-07  4.24501E-07  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00
 1894.   4.47754E-04  4.79074E-07  4.24577E-07  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00
 1895.   4.47905E-04  4.80320E-07  4.24653E-07  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00
 1896.   4.48057E-04  4.81704E-07  4.24729E-07  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00
 1897.   4.48247E-04  4.82951E-07  4.24843E-07  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00
